source,target,S,tau,requirement,deps_dev_dependent_index,deps_dev_dependency_index
npm:parseurl@1.3.3,npm:finalhandler@1.2.0,1.0,1.0,~1.3.3,24,50
npm:statuses@2.0.1,npm:finalhandler@1.2.0,1.0,1.0,2.0.1,24,65
npm:unpipe@1.0.0,npm:finalhandler@1.2.0,1.0,1.0,~1.0.0,24,68
npm:async-function@1.0.0,npm:get-intrinsic@1.3.1,1.0,1.0,^1.0.0,29,3
npm:async-generator-function@1.0.0,npm:get-intrinsic@1.3.1,1.0,1.0,^1.0.0,29,4
npm:call-bind-apply-helpers@1.0.2,npm:get-intrinsic@1.3.1,1.0,1.0,^1.0.2,29,7
npm:es-define-property@1.0.1,npm:get-intrinsic@1.3.1,1.0,1.0,^1.0.1,29,19
npm:es-errors@1.3.0,npm:get-intrinsic@1.3.1,1.0,1.0,^1.3.0,29,20
npm:es-object-atoms@1.1.2,npm:get-intrinsic@1.3.1,1.0,1.0,^1.1.1,29,21
npm:function-bind@1.1.2,npm:get-intrinsic@1.3.1,1.0,1.0,^1.1.2,29,27
npm:generator-function@2.0.1,npm:get-intrinsic@1.3.1,1.0,1.0,^2.0.0,29,28
npm:get-proto@1.0.1,npm:get-intrinsic@1.3.1,1.0,1.0,^1.0.1,29,30
npm:gopd@1.2.0,npm:get-intrinsic@1.3.1,1.0,1.0,^1.2.0,29,31
npm:has-symbols@1.1.0,npm:get-intrinsic@1.3.1,1.0,1.0,^1.1.0,29,32
npm:hasown@2.0.4,npm:get-intrinsic@1.3.1,1.0,1.0,^2.0.2,29,33
npm:math-intrinsics@1.1.0,npm:get-intrinsic@1.3.1,1.0,1.0,^1.1.0,29,38
npm:dunder-proto@1.0.1,npm:get-proto@1.0.1,1.0,1.0,^1.0.1,30,16
npm:es-object-atoms@1.1.2,npm:get-proto@1.0.1,1.0,1.0,^1.0.0,30,21
npm:function-bind@1.1.2,npm:hasown@2.0.4,1.0,1.0,^1.1.2,33,27
npm:depd@2.0.0,npm:http-errors@2.0.0,1.0,1.0,2.0.0,34,14
npm:inherits@2.0.4,npm:http-errors@2.0.0,1.0,1.0,2.0.4,34,36
npm:setprototypeof@1.2.0,npm:http-errors@2.0.0,1.0,1.0,1.2.0,34,60
npm:statuses@2.0.1,npm:http-errors@2.0.0,1.0,1.0,2.0.1,34,65
npm:toidentifier@1.0.1,npm:http-errors@2.0.0,1.0,1.0,1.0.1,34,66
npm:safer-buffer@2.1.2,npm:iconv-lite@0.4.24,1.0,1.0,>= 2.1.2 < 3,35,57
npm:mime-db@1.52.0,npm:mime-types@2.1.35,1.0,1.0,1.52.0,44,43
npm:ee-first@1.1.1,npm:on-finished@2.4.1,1.0,1.0,1.1.1,49,17
npm:forwarded@0.2.0,npm:proxy-addr@2.0.8,1.0,1.0,0.2.0,52,25
npm:ipaddr.js@1.9.1,npm:proxy-addr@2.0.8,1.0,1.0,1.9.1,52,37
npm:side-channel@1.1.1,npm:qs@6.11.0,1.0,1.0,^1.0.4,53,61
npm:bytes@3.1.2,npm:raw-body@2.5.1,1.0,1.0,3.1.2,55,6
npm:http-errors@2.0.0,npm:raw-body@2.5.1,1.0,1.0,2.0.0,55,34
npm:iconv-lite@0.4.24,npm:raw-body@2.5.1,1.0,1.0,0.4.24,55,35
npm:unpipe@1.0.0,npm:raw-body@2.5.1,1.0,1.0,1.0.0,55,68
npm:debug@2.6.9,npm:send@0.18.0,1.0,1.0,2.6.9,58,13
npm:depd@2.0.0,npm:send@0.18.0,1.0,1.0,2.0.0,58,14
npm:destroy@1.2.0,npm:send@0.18.0,1.0,1.0,1.2.0,58,15
npm:encodeurl@1.0.2,npm:send@0.18.0,1.0,1.0,~1.0.2,58,18
npm:escape-html@1.0.3,npm:send@0.18.0,1.0,1.0,~1.0.3,58,22
npm:etag@1.8.1,npm:send@0.18.0,1.0,1.0,~1.8.1,58,23
npm:fresh@0.5.2,npm:send@0.18.0,1.0,1.0,0.5.2,58,26
npm:http-errors@2.0.0,npm:send@0.18.0,1.0,1.0,2.0.0,58,34
npm:mime@1.6.0,npm:send@0.18.0,1.0,1.0,1.6.0,58,42
npm:ms@2.1.3,npm:send@0.18.0,1.0,1.0,2.1.3,58,46
npm:on-finished@2.4.1,npm:send@0.18.0,1.0,1.0,2.4.1,58,49
npm:range-parser@1.2.1,npm:send@0.18.0,1.0,1.0,~1.2.1,58,54
npm:statuses@2.0.1,npm:send@0.18.0,1.0,1.0,2.0.1,58,65
npm:encodeurl@1.0.2,npm:serve-static@1.15.0,1.0,1.0,~1.0.2,59,18
npm:escape-html@1.0.3,npm:serve-static@1.15.0,1.0,1.0,~1.0.3,59,22
npm:parseurl@1.3.3,npm:serve-static@1.15.0,1.0,1.0,~1.3.3,59,50
npm:send@0.18.0,npm:serve-static@1.15.0,1.0,1.0,0.18.0,59,58
npm:es-errors@1.3.0,npm:side-channel@1.1.1,1.0,1.0,^1.3.0,61,20
npm:object-inspect@1.13.4,npm:side-channel@1.1.1,1.0,1.0,^1.13.4,61,48
npm:side-channel-list@1.0.1,npm:side-channel@1.1.1,1.0,1.0,^1.0.1,61,62
npm:side-channel-map@1.0.1,npm:side-channel@1.1.1,1.0,1.0,^1.0.1,61,63
npm:side-channel-weakmap@1.0.2,npm:side-channel@1.1.1,1.0,1.0,^1.0.2,61,64
npm:es-errors@1.3.0,npm:side-channel-list@1.0.1,1.0,1.0,^1.3.0,62,20
npm:object-inspect@1.13.4,npm:side-channel-list@1.0.1,1.0,1.0,^1.13.4,62,48
npm:call-bound@1.0.4,npm:side-channel-map@1.0.1,1.0,1.0,^1.0.2,63,8
npm:es-errors@1.3.0,npm:side-channel-map@1.0.1,1.0,1.0,^1.3.0,63,20
npm:get-intrinsic@1.3.1,npm:side-channel-map@1.0.1,1.0,1.0,^1.2.5,63,29
npm:object-inspect@1.13.4,npm:side-channel-map@1.0.1,1.0,1.0,^1.13.3,63,48
npm:call-bound@1.0.4,npm:side-channel-weakmap@1.0.2,1.0,1.0,^1.0.2,64,8
npm:es-errors@1.3.0,npm:side-channel-weakmap@1.0.2,1.0,1.0,^1.3.0,64,20
npm:get-intrinsic@1.3.1,npm:side-channel-weakmap@1.0.2,1.0,1.0,^1.2.5,64,29
npm:object-inspect@1.13.4,npm:side-channel-weakmap@1.0.2,1.0,1.0,^1.13.3,64,48
npm:side-channel-map@1.0.1,npm:side-channel-weakmap@1.0.2,1.0,1.0,^1.0.1,64,63
npm:media-typer@0.3.0,npm:type-is@1.6.18,1.0,1.0,0.3.0,67,39
npm:mime-types@2.1.35,npm:type-is@1.6.18,1.0,1.0,~2.1.24,67,44
